hwdsl2/setup-ipsec-vpn,https://github.com/hwdsl2/setup-ipsec-vpn,"Scripts to build your own IPsec VPN server, with IPsec/L2TP, Cisco IPsec and IKEv2",17.4k,2022/2/23 14:13
vpncn/vpncn.github.io,https://github.com/vpncn/vpncn.github.io,2022中国翻墙软件VPN推荐以及科学上网避坑，稳定好用。对比SSR机场、蓝灯、V2ray、老王VPN、VPS搭建梯子等科学上网与翻墙软件，中国最新科学上网翻墙梯子VPN下载推荐。,4.3k,2022/2/21 23:02
hwdsl2/docker-ipsec-vpn-server,https://github.com/hwdsl2/docker-ipsec-vpn-server,"Docker image to run an IPsec VPN server, with IPsec/L2TP, Cisco IPsec and IKEv2",4.5k,2022/2/21 11:53
aditya-shri/VPN,https://github.com/aditya-shri/VPN,Personal vpn using v2ray and shadowsocks hosted on heroku,94,2021/9/13 23:21
ntop/n2n,https://github.com/ntop/n2n,Peer-to-peer VPN,3.7k,2022/2/21 17:09
clowwindy/ShadowVPN,https://github.com/clowwindy/ShadowVPN,Removed according to regulations.,1.5k,2020/7/23 12:48
91yun/vpn,https://github.com/91yun/vpn,vpn一键安装包,194,2016/5/3 12:08
SoftEtherVPN/SoftEtherVPN,https://github.com/SoftEtherVPN/SoftEtherVPN,Cross-platform multi-protocol VPN software. Pull requests are welcome. The stable version is available at https://github.com/SoftEtherVPN/SoftEtherVPN_Stable.,8.7k,2022/2/23 2:47
lexrus/VPNOn,https://github.com/lexrus/VPNOn,Turn On your VPN like a hero.,4.3k,2020/3/15 15:23
clown-coding/vpn,https://github.com/clown-coding/vpn,快速搭建一个自己的VPN翻墙科学上网,659,2018/12/30 13:53
OpenVPN/openvpn,https://github.com/OpenVPN/openvpn,OpenVPN is an open source VPN daemon,6.8k,2022/2/23 21:10
trailofbits/algo,https://github.com/trailofbits/algo,Set up a personal VPN in the cloud,24.6k,2022/2/23 16:00
Mygod/VPNHotspot,https://github.com/Mygod/VPNHotspot,Share your VPN connection over hotspot or repeater! (root required),1.6k,2022/2/22 13:02
wangyu-/tinyfecVPN,https://github.com/wangyu-/tinyfecVPN,"A VPN Designed for Lossy Links, with Build-in Forward Error Correction(FEC) Support. Improves your Network Quality on a High-latency Lossy Link.",1.9k,2021/12/9 22:27
YoulianBoshi/lantern-vpn,https://github.com/YoulianBoshi/lantern-vpn,"PC蓝灯破解版在这里,重启程序重置500M流量,屏蔽自动更新,永久使用",2.3k,2021/9/30 9:58
AlanTur1ng/Free-VPN-for-Coursera,https://github.com/AlanTur1ng/Free-VPN-for-Coursera,🔑 🔓免费开源的科学上网工具,2.4k,2019/4/6 21:17
hugetiny/awesome-vpn,https://github.com/hugetiny/awesome-vpn,"Free VPN/proxy,server,account,link list.,实时更新免费的代理,科学上网,翻墙,梯子,服务器,客户端,账号",2.8k,2020/9/2 14:57
strongswan/strongswan,https://github.com/strongswan/strongswan,strongSwan - IPsec-based VPN,1.3k,2022/2/22 21:32
jedisct1/dsvpn,https://github.com/jedisct1/dsvpn,A Dead Simple VPN.,4.9k,2022/2/21 17:03
pritunl/pritunl,https://github.com/pritunl/pritunl,Enterprise VPN server,3.4k,2022/2/18 2:47
quericy/one-key-ikev2-vpn,https://github.com/quericy/one-key-ikev2-vpn,A bash script base on Centos or Ubuntu help you to create IKEV2/L2TP vpn.,2k,2020/11/16 15:19
shenghuo87/vpn,https://github.com/shenghuo87/vpn,小明VPN,120,2018/5/21 23:55
clowwindy/ShadowVPN-iOS,https://github.com/clowwindy/ShadowVPN-iOS,Removed according to regulations.,480,2019/1/16 17:09
dswd/vpncloud,https://github.com/dswd/vpncloud,Peer-to-peer VPN,1.3k,2022/2/21 17:02
SoftEtherVPN/SoftEtherVPN_Stable,https://github.com/SoftEtherVPN/SoftEtherVPN_Stable,"Cross-platform multi-protocol VPN software. This repository is officially managed by Daiyuu Nobori, the founder of the project. Pull requests should be sent to the master repository at https://github.com/SoftEtherVPN/SoftEtherVPN.",1.2k,2022/2/14 1:50
clowwindy/ShadowVPNAndroid,https://github.com/clowwindy/ShadowVPNAndroid,Removed according to regulations.,302,2017/6/5 17:43
angristan/wireguard-install,https://github.com/angristan/wireguard-install,WireGuard VPN installer for Linux servers,2.8k,2022/1/31 8:40
gsliepen/tinc,https://github.com/gsliepen/tinc,a VPN daemon,1.4k,2022/1/25 3:34
hexene/LocalVPN,https://github.com/hexene/LocalVPN,A packet interceptor for Android built on top of VpnService,811,2019/2/27 18:18
moby/vpnkit,https://github.com/moby/vpnkit,A toolkit for embedding VPN capabilities in your application,888,2022/2/17 0:33
XX-net/XX-Net,https://github.com/XX-net/XX-Net,A proxy tool to bypass GFW.,31k,2022/2/24 16:25
